address,lat,lon,formatted_address,loc_type
1300 E MARKET ST Charlottesville VA,38.0263818,-78.4673838,"1300 E Market St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
2000 MICHIE DR Charlottesville VA,38.058675,-78.4873719,"2000 Michie Dr, Charlottesville, VA 22901, USA",ROOFTOP
1100 PRESTON AVE Charlottesville VA,38.0420337,-78.4922517,"1100 Preston Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1400 MELBOURNE RD Charlottesville VA,38.0523149,-78.4759642,"1400 Melbourne Rd, Charlottesville, VA 22901, USA",ROOFTOP
1000 BELMONT AVE Charlottesville VA,38.0227728,-78.4744547,"1000 Belmont Ave, Charlottesville, VA 22902, USA",ROOFTOP
900 PRESTON AVE Charlottesville VA,38.0369919,-78.4894474,"900 Preston Ave, Charlottesville, VA 22903, USA",ROOFTOP
1200 GRADY AVE Charlottesville VA,38.0394575,-78.4943415,"1200 Grady Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
400 PRESTON AVE Charlottesville VA,38.033464,-78.4844059,"400 Preston Ave, Charlottesville, VA 22903, USA",ROOFTOP
200 E MAIN ST Charlottesville VA,38.0305635,-78.4807349,"200 E Main St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
700 NALLE ST Charlottesville VA,38.0293989,-78.49153,"700 Nalle St, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 GRADY AVE Charlotesville VA,38.0397966,-78.495246,"Grady Ave, Charlottesville, VA 22903, USA",GEOMETRIC_CENTER
1100 WARE ST Charlottesville VA,38.0227468,-78.4846134,"1100 Ware St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
300 15TH ST NW Charlottesville VA,38.0363211,-78.4993725,"300 15th St NW, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
2000 HOLIDAY DR Charlottesville VA,38.0576788,-78.491385,"2000 Holiday Dr, Charlottesville, VA 22901, USA",ROOFTOP
100 CHANCELLOR ST Charlottesville VA,38.0359935,-78.5014644,"100 Chancellor St, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 SHAMROCK RD Charlottesville VA,38.0277003,-78.5113306,"100 Shamrock Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
300 5TH ST SW Charlottesville VA,38.02896,-78.4889046,"300 5th St SW, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
300 MEADE AVE Charlottesville VA,38.027678,-78.465092,"300 Meade Ave, Charlottesville, VA 22902, USA",ROOFTOP
100 LONGWOOD DR Charlottesville VA,38.0153603,-78.5044305,"100 Longwood Dr, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
500 7TH ST NE Charlottesville VA,38.0326132,-78.4754248,"500 7th St NE, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
2100 HYDRAULIC RD Charlottesville VA,38.064511,-78.491021,"2100 Hydraulic Rd, Charlottesville, VA 22901, USA",ROOFTOP
2400 JEFFERSON PARK AVE Charlottesville VA,38.0232964,-78.5144987,"2400 Jefferson Park Ave, Charlottesville, VA 22903, USA",ROOFTOP
100 MINOR COURT LN Charlottesville VA,38.0348877,-78.5005799,"100 Minor Ct Ln, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1500 CHESAPEAKE ST Charlottesville VA,38.0252386,-78.4613311,"1500 Chesapeake St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
100 OLD FIFTH CIR Charlotesville VA,38.0148203,-78.5005644,"100 Old Fifth Cir, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 MARKET ST Charlotesville VA,38.031353,-78.4815291,"100 Market St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
1300 RIVERDALE DR Charlottesville VA,38.0349895,-78.4614555,"1300 Riverdale Dr, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
700 ORANGEDALE AVE Charlottesville VA,38.0246036,-78.4954169,"700 Orangedale Ave, Charlottesville, VA 22903, USA",ROOFTOP
400 OAK ST Charlottesville VA,38.0274713,-78.4877654,"400 Oak St, Charlottesville, VA 22903, USA",ROOFTOP
1400 VINE ST Charlottesville VA,38.0197057,-78.4685894,"1400 Vine St, Charlottesville, VA 22902, USA",ROOFTOP
1400 RUTLEDGE AVE Charlottesville VA,38.0459289,-78.4810902,"1400 Rutledge Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
300 SPRUCE ST Charlottesville VA,38.0250533,-78.4712965,"300 Spruce St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
400 COMMERCE ST Charlottesville VA,38.031452,-78.4862253,"400 Commerce St, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
200 2ND ST NE Charlottesville VA,38.0318381,-78.479986,"200 2nd St NE, Charlottesville, VA 22902, USA",ROOFTOP
900 5TH ST SW Charlottesville VA,38.0237999,-78.4919651,"900 5th St SW, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
1200 SMITH ST Charlottesville VA,38.0415476,-78.4590803,"1200 Smith St, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
1500 MIDLAND ST Charlottesville VA,38.0200109,-78.4663934,"1500 Midland St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
700 GRAVES ST Charlottesville VA,38.0269291,-78.4766666,"700 Graves St, Charlottesville, VA 22902, USA",ROOFTOP
600 GROVE AVE Charlottesville VA,38.0328389,-78.4687896,"600 Grove Ave, Charlottesville, VA 22902, USA",ROOFTOP
1700 UNIVERSITY AVE Charlottesville VA,38.0357702,-78.5020821,"1700 University Ave, Charlottesville, VA 22903, USA",ROOFTOP
2100 MICHIE DR Charlottesville VA,38.0604398,-78.4866307,"2100 Michie Dr, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
1000 LINDEN AVE Charlottesville VA,38.014266,-78.4700526,"1000 Linden Ave, Charlottesville, VA 22902, USA",ROOFTOP
700 HARRIS ST Charlottesville VA,38.0358949,-78.4842594,"700 Harris St, Charlottesville, VA 22903, USA",ROOFTOP
800 NASSAU ST Charlottesville VA,38.0184647,-78.4675794,"800 Nassau St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
200 WATER ST Charlottesville VA,38.0302046,-78.4828706,"200 Water St W, Charlottesville, VA 22902, USA",ROOFTOP
900 1ST ST Charlottesville VA,38.0232593,-78.4857129,"900 1st St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
700 5TH ST SW Charlottesville VA,38.0249811,-78.4902646,"700 5th St SW, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
2100 BARRACKS RD Charlottesville VA,38.052787,-78.499113,"2100 Barracks Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1700 EMMET ST N Charlottesville VA,38.0588809,-78.4933304,"1700 Emmet St N, Charlottesville, VA 22901, USA",ROOFTOP
1200 WERTLAND ST Charlottesville VA,38.0341704,-78.4964999,"1200 Wertland St, Charlottesville, VA 22903, USA",ROOFTOP
1200 EMMET ST Charlottesville VA,38.052833,-78.498468,"1200 Emmet St N, Charlottesville, VA 22903, USA",ROOFTOP
1700 HYDRAULIC RD Charlottesville VA,38.0587662,-78.4888733,"1700 Hydraulic Rd, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
1800 MONTICELLO RD Charlottesville VA,38.0154547,-78.4730149,"1800 Monticello Rd, Charlottesville, VA 22902, USA",ROOFTOP
2100 IVY RD Charlottesville VA,38.0424775,-78.5119501,"2100 Ivy Rd, Charlottesville, VA 22903, USA",ROOFTOP
1600 TRAILRIDGE RD Charlottesville VA,38.0210737,-78.5034147,"1600 Trailridge Rd, Charlottesville, VA 22903, USA",ROOFTOP
1700 RUGBY CIR Charlottesville VA,38.0502631,-78.4901951,"1700 Rugby Cir, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 TODD AVE Charlottesville VA,38.025011,-78.5146741,"100 Todd Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
300 14TH ST NW Charlottesville VA,38.0360899,-78.4985126,"300 14th St NW, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1600 MERIDIAN ST Charlottesville VA,38.0158881,-78.4810371,"1600 Meridian St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
100 CITY WALK WAY Charlotesville VA,38.0255297,-78.4687874,"City Walk Way, Charlottesville, VA 22902, USA",GEOMETRIC_CENTER
1400 MONTICELLO RD Charlottesville VA,38.0193762,-78.4725403,"1400 Monticello Rd, Charlottesville, VA 22902, USA",ROOFTOP
1400 MOORES ST Charlottesville VA,38.0328865,-78.4656964,"1400 Moore St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
1900 EMMET ST N Charlottesville VA,38.0606411,-78.4925669,"1900 Emmet St N, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
2700 ETON RD Charlottesville VA,38.0169955,-78.5169611,"2700 Eton Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
800 ELLIOTT AVE Charlottesville VA,38.0203128,-78.4797513,"800 Elliott Ave, Charlottesville, VA 22902, USA",ROOFTOP
200 MAIN ST Charlottesville VA,38.03092,-78.48236,"200 W Main St, Charlottesville, VA 22902, USA",ROOFTOP
300 PRESTON AVE Charlottesville VA,38.0330309,-78.4838921,"300 Preston Ave, Charlottesville, VA 22902, USA",ROOFTOP
500 CLEVELAND AVE Charlottesville VA,38.0173267,-78.4976709,"500 Cleveland Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
900 NASSAU ST Charlottesville VA,38.016812,-78.468359,"900 Nassau St, Charlottesville, VA 22902, USA",ROOFTOP
1500 UNIVERSITY AVE Charlottesville VA,38.0347522,-78.5004787,"1500 University Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 OLINDA DR Charlottesville VA,38.023756,-78.4998293,"100 Olinda Dr, Charlottesville, VA 22903, USA",ROOFTOP
600 PROSPECT AVE Charlottesville VA,38.025189,-78.4950757,"600 Prospect Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 NORTH BAKER ST Charlottesville VA,38.0260763,-78.5029017,"100 N Baker St, Charlottesville, VA 22903, USA",ROOFTOP
2100 ANGUS RD Charlottesville VA,38.0591843,-78.4948469,"2100 Angus Rd, Charlottesville, VA 22901, USA",ROOFTOP
1100 EMMET ST N Charlottesville VA,38.0513687,-78.5000734,"1100 Emmet St N, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1000 ST CLAIR AVE Charlottesville VA,38.0389069,-78.4622326,"1000 St Clair Ave, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
1100 FOREST HILLS AVE Charlottesville VA,38.025348,-78.4985489,"1100 Forest Hills Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 W MAIN ST Charlottesville VA,38.030472,-78.48183,"100-106 W Main St, Charlottesville, VA 22902, USA",ROOFTOP
700 WALKER SQ Charlottesville VA,38.030596,-78.4922573,"700 Walker Square, Charlottesville, VA 22903, USA",ROOFTOP
600 13TH ST NW Charlottesville VA,38.0398022,-78.4952427,"600 13th St NW, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
200 CARLTON RD Charlottesville VA,38.02346,-78.468795,"200 Carlton Rd, Charlottesville, VA 22902, USA",ROOFTOP
200 SHAMROCK RD Charlottesville VA,38.0266358,-78.5104684,"200 Shamrock Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
200 W WATER ST Charlottesville VA,38.0302046,-78.4828706,"200 Water St W, Charlottesville, VA 22902, USA",ROOFTOP
700 PALATINE AVE Charlottesville VA,38.0174417,-78.4842075,"700 Palatine Ave, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
500 1ST ST S Charlottesville VA,38.0270392,-78.4830237,"500 1st St S, Charlottesville, VA 22902, USA",ROOFTOP
2300 FONTAINE AVE Charlottesville VA,38.0258294,-78.5166664,"2300 Fontaine Ave, Charlottesville, VA 22903, USA",ROOFTOP
100 WERTLAND ST Charlotesville VA,38.0344728,-78.4970338,"Wertland St, Charlottesville, VA 22903, USA",GEOMETRIC_CENTER
500 1ST ST Charlottesville VA,38.023259,-78.485713,"500 1st St, Charlottesville, VA 22902, USA",ROOFTOP
200 MONTICELLO RD Charlottesville VA,38.0277329,-78.4767909,"200 Monticello Rd, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
100 GILDERSLEEVE WOOD Charlottesville VA,38.0295364,-78.5072816,"100 Gildersleeve Wood, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
2300 GLENN CT Charlottesville VA,38.0694135,-78.4714712,"2300 Glenn Ct, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
500 GARRETT ST Charlottesville VA,38.0276511,-78.4796212,"500 Garrett St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
1100 SEMINOLE TRL Charlottesville VA,38.0667214,-78.4875455,"1100 Seminole Trail, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
1600 MADISON AVE Charlottesville VA,38.0416326,-78.4867566,"1600 Madison Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 E MARKET ST Charlottesville VA,38.0315386,-78.4811438,"100 E Market St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
600 W MAIN ST Charlottesville VA,38.030895,-78.48853,"600 W Main St, Charlottesville, VA 22903, USA",ROOFTOP
400 4TH ST NW Charlottesville VA,38.0336029,-78.4854407,"400 4th St NW, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1600 EMMET ST N Charlottesville VA,38.0583594,-78.4932627,"1600 Emmet St N, Charlottesville, VA 22901, USA",ROOFTOP
1200 CARLTON AVE Charlottesville VA,38.0233462,-78.4716599,"1200 Carlton Ave, Charlottesville, VA 22902, USA",ROOFTOP
1400 UNIVERSITY AVE Charlottesville VA,38.0340277,-78.5000549,"1400 University Ave, Charlottesville, VA 22903, USA",ROOFTOP
100 FOREST ST Charlotesville VA,38.0383099,-78.4854874,"Forest St, Charlottesville, VA 22903, USA",GEOMETRIC_CENTER
600 250 BYPASS Charlottesville VA,38.0389505,-78.4670773,"600 US-250 BYP, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
900 EMMET ST Charlottesville VA,38.048578,-78.5029799,"900 Emmet St N, Charlottesville, VA 22903, USA",ROOFTOP
1500 CHERRY AVE Charlottesville VA,38.024239,-78.5032879,"1500 Cherry Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 PRESTON AVE Charlotesville VA,38.03779,-78.4892925,"Preston Ave, Charlottesville, VA, USA",GEOMETRIC_CENTER
100 EMMET ST S Charlotesville VA,38.0399143,-78.5063768,"100 Emmet St S, Charlottesville, VA 22903, USA",ROOFTOP
100 VILLAGE RD Charlotesville VA,38.0193216,-78.5018621,"Village Rd, Charlottesville, VA 22903, USA",GEOMETRIC_CENTER
100 EMMET ST Charlotesville VA,38.039893,-78.506392,"100 Emmet St N, Charlottesville, VA 22903, USA",ROOFTOP
400 CLEVELAND AVE Charlottesville VA,38.0189155,-78.5081884,"400 Cleveland Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
800 AVON ST Charlottesville VA,38.0234199,-78.4796044,"800 Avon St, Charlottesville, VA 22902, USA",ROOFTOP
100 7TH ST NE Charlottesville VA,38.0297561,-78.4765338,"100 7th St NE, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
1000 HOLMES AVE Charlottesville VA,38.0428754,-78.465119,"1000 Holmes Ave, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
100 BURNET ST Charlottesville VA,38.0239658,-78.4872598,"100 Burnet St, Charlottesville, VA 22902, USA",ROOFTOP
500 VALLEY RD Charlottesville VA,38.0307936,-78.5050523,"500 Valley Rd, Charlottesville, VA 22903, USA",ROOFTOP
300 2ND ST NW Charlottesville VA,38.0325294,-78.4815503,"300 2nd St NW, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
300 RIDGE ST Charlottesville VA,38.0283578,-78.48568,"300 Ridge St, Charlottesville, VA 22902, USA",ROOFTOP
200 ZAN RD Charlottesville VA,38.0627864,-78.4876788,"200 Zan Rd, Charlottesville, VA 22901, USA",ROOFTOP
1700 GRADY AVE Charlottesville VA,38.0413002,-78.4993852,"1700 Grady Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
400 MEADE AVE Charlottesville VA,38.0292692,-78.4655276,"400 Meade Ave, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
100 E MAIN ST Charlottesville VA,38.030425,-78.481559,"100 E Main St, Charlottesville, VA 22902, USA",ROOFTOP
600 HENRY AVE Charlottesville VA,38.0370012,-78.4838042,"600 Henry Ave, Charlottesville, VA 22903, USA",ROOFTOP
400 2ND ST NE Charlottesville VA,38.032788,-78.4797116,"400 2nd St NE, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
600 RUGBY RD Charlottesville VA,38.0418012,-78.5000742,"600 Rugby Rd, Charlottesville, VA 22903, USA",ROOFTOP
1400 E HIGH ST Charlottesville VA,38.0318407,-78.4646005,"1400 E High St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
700 E MAIN ST Charlottesville VA,38.029236,-78.4766141,"700 E Main St, Charlottesville, VA 22902, USA",ROOFTOP
300 KENT RD Charlottesville VA,38.0405841,-78.5151703,"300 Kent Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
100 UNIVERSITY CIR Charlottesville VA,38.0438121,-78.503047,"100 University Cir, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
500 RUGBY RD Charlottesville VA,38.0408469,-78.500984,"500 Rugby Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
200 15TH ST NW Charlottesville VA,38.0351581,-78.4996131,"200 15th St NW, Charlottesville, VA 22903, USA",ROOFTOP
500 MCINTIRE RD Charlottesville VA,38.0352387,-78.4814787,"500 McIntire Rd, Charlottesville, VA 22902, USA",ROOFTOP
1600 AMHERST ST Charlottesville VA,38.0424205,-78.4867871,"1600 Amherst St, Charlottesville, VA 22903, USA",ROOFTOP
200 STRIBLING AVE Charlottesville VA,38.022426,-78.519007,"200 Stribling Ave, Charlottesville, VA 22903, USA",ROOFTOP
100 VALLEY RD Charlottesville VA,38.0291779,-78.5066593,"100 Valley Rd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1000 W MAIN ST Charlottesville VA,38.0323157,-78.4952222,"1000 W Main St, Charlottesville, VA 22903, USA",ROOFTOP
100 JOHN W WARNER PKWY Charlotesville VA,38.05229,-78.4693888,"John W. Warner Parkway, Virginia 22901, USA",GEOMETRIC_CENTER
100 W MAIN ST Charlotesville VA,38.0307181,-78.481656,"100 W Main St, Charlottesville, VA 22902, USA",ROOFTOP
1100 6TH ST SE Charlottesville VA,38.0219763,-78.4829676,"1100 6th St SE, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
100 STRIBLING AVE Charlottesville VA,38.0241952,-78.5150022,"100 Stribling Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
900 SEMINOLE TRL Charlottesville VA,38.0624288,-78.4914485,"900 Seminole Trail, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
100 MCINTIRE PARK DR Charlottesville VA,38.0801316,-78.4721853,"200 Albemarle Square, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
200 E WATER ST Charlottesville VA,38.029242000000004,-78.480583,"200 Water St E, Charlottesville, VA 22902, USA",ROOFTOP
